hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-12T23:00Z,11,13,43,12409,1.39,4.59,1324.8,83.27,275.44,79488.26
2026-02-13T00:00Z,64,268,526,66539,4.54,8.92,1128.1,272.62,535.07,67685.9
2026-02-13T01:00Z,64,212,434,64916,3.6,7.36,1101.2,215.78,441.73,66072.26
2026-02-13T02:00Z,64,200,468,65598,3.39,7.94,1113.09,203.62,476.47,66785.29
2026-02-13T03:00Z,64,250,510,68923,4.19,8.55,1154.81,251.33,512.71,69288.69
2026-02-13T04:00Z,63,227,535,68285,3.86,9.1,1160.98,231.57,545.76,69658.83
2026-02-13T05:00Z,64,211,485,68729,3.56,8.19,1160.96,213.85,491.55,69657.77
2026-02-13T06:00Z,64,242,489,62162,4.09,8.27,1051.81,245.69,496.45,63108.63
2026-02-13T07:00Z,64,634,1015,65499,10.7,17.14,1105.78,642.21,1028.14,66346.76
2026-02-13T08:00Z,63,267,447,68678,4.52,7.57,1163.71,271.45,454.45,69822.31
2026-02-13T09:00Z,64,312,476,67458,5.28,8.05,1141.1,316.66,483.11,68465.97
2026-02-13T10:00Z,63,402,522,63608,6.83,8.88,1081.46,410.09,532.5,64887.73
2026-02-13T11:00Z,64,365,501,64471,6.15,8.45,1086.9,369.2,506.77,65213.71
2026-02-13T12:00Z,62,220,505,67504,3.75,8.61,1150.64,225,516.48,69038.18
2026-02-13T13:00Z,62,279,556,62311,4.77,9.51,1065.45,286.24,570.42,63926.93
2026-02-13T14:00Z,63,207,474,66661,3.5,8.02,1127.94,210.15,481.22,67676.14
2026-02-13T15:00Z,65,319,641,67055,5.33,10.7,1119.76,319.62,642.25,67185.64
2026-02-13T16:00Z,63,437,700,67154,7.42,11.89,1140.46,445.29,713.27,68427.51
2026-02-13T17:00Z,64,355,612,70730,6.01,10.36,1196.79,360.41,621.32,71807.11
2026-02-13T18:00Z,64,445,581,75689,7.54,9.85,1283.23,452.67,591.01,76993.61
2026-02-13T19:00Z,64,329,629,70206,5.58,10.68,1191.62,335.05,640.57,71496.92
2026-02-13T20:00Z,64,444,638,71396,7.55,10.84,1213.53,452.8,650.65,72811.78
2026-02-13T21:00Z,64,431,662,75812,7.31,11.23,1285.68,438.55,673.6,77140.53
2026-02-13T22:00Z,64,327,611,68040,5.53,10.34,1150.94,331.89,620.13,69056.67
