hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-08T23:00Z,11,659,111,52156,70.99,11.96,5618.24,4259.25,717.41,337094.43
2026-02-09T00:00Z,64,2599,625,355249,44.18,10.62,6038.23,2650.54,637.39,362293.6
2026-02-09T01:00Z,65,278,653,339443,4.68,11,5717.74,280.97,659.97,343064.23
2026-02-09T02:00Z,64,285,529,345025,4.86,9.02,5881.11,291.48,541.02,352866.48
2026-02-09T03:00Z,65,365,673,354632,6.13,11.3,5951.87,367.55,677.71,357111.94
2026-02-09T04:00Z,64,403,534,357733,6.85,9.08,6083.89,411.22,544.9,365033.67
2026-02-09T05:00Z,64,286,594,334558,4.85,10.07,5673.68,291.01,604.41,340420.8
2026-02-09T06:00Z,64,371,470,308194,6.31,8,5245.86,378.89,480,314751.32
2026-02-09T07:00Z,64,311,412,322356,5.23,6.93,5419.27,313.7,415.58,325155.95
2026-02-09T08:00Z,64,379,567,284650,6.4,9.57,4804.22,383.8,574.18,288253.16
2026-02-09T09:00Z,62,367,578,303437,6.3,9.92,5206.24,377.81,595.02,312374.38
2026-02-09T10:00Z,64,829,649,302903,13.86,10.85,5065.27,831.77,651.17,303916.05
2026-02-09T11:00Z,32,1264,299,170532,43.31,10.25,5843.47,2598.74,614.73,350608.34
